exchange_pair,currency_pair
bitstamp/binance,ETH/EUR
bitstamp/binance,USDC/USDT
bitstamp/binance,LTC/BTC
bitstamp/binance,GALA/EUR
bitstamp/binance,APE/EUR
bitstamp/binance,ETH/USDT
bitstamp/binance,LTC/EUR
bitstamp/binance,XRP/GBP
bitstamp/binance,ADA/BTC
bitstamp/binance,CHZ/EUR
bitstamp/binance,BCH/EUR
bitstamp/binance,WBTC/BTC
bitstamp/binance,AUDIO/BTC
bitstamp/binance,XLM/EUR
bitstamp/binance,LTC/GBP
bitstamp/binance,BCH/BTC
bitstamp/binance,FTM/EUR
bitstamp/binance,SHIB/EUR
bitstamp/binance,SXP/EUR
bitstamp/binance,LINK/BTC
bitstamp/binance,YFI/EUR
bitstamp/binance,NEAR/EUR
bitstamp/binance,AAVE/BTC
bitstamp/binance,XLM/BTC
bitstamp/binance,GRT/EUR
bitstamp/binance,DOT/EUR
bitstamp/binance,ETH/BTC
bitstamp/binance,SOL/EUR
bitstamp/binance,SUI/EUR
bitstamp/binance,BTC/USDT
bitstamp/binance,ALGO/BTC
bitstamp/binance,LINK/GBP
bitstamp/binance,BTC/EUR
bitstamp/binance,AVAX/EUR
bitstamp/binance,BTC/GBP
bitstamp/binance,ETH/PAX
bitstamp/binance,DOGE/EUR
bitstamp/binance,LINK/EUR
bitstamp/binance,ADA/EUR
bitstamp/binance,ETH/GBP
bitstamp/binance,MATIC/EUR
bitstamp/binance,XRP/EUR
bitstamp/binance,UNI/EUR
poloniex/kraken,APE/USDT
poloniex/kraken,MATIC/USDT
poloniex/kraken,XRP/BTC
poloniex/kraken,XRP/USDT
poloniex/kraken,REP/BTC
poloniex/kraken,ETH/USDC
poloniex/kraken,EOS/BTC
poloniex/kraken,SRM/BTC
poloniex/kraken,LINK/USDT
poloniex/kraken,STORJ/BTC
poloniex/kraken,ETHW/ETH
poloniex/kraken,BTC/USDC
poloniex/kraken,ETC/BTC
poloniex/kraken,QTUM/BTC
poloniex/kraken,SOL/USDT
poloniex/kraken,BCH/USDT
poloniex/kraken,REN/BTC
poloniex/kraken,LTC/BTC
poloniex/kraken,ZRX/BTC
poloniex/kraken,TRX/BTC
poloniex/kraken,ATOM/BTC
poloniex/kraken,BAT/BTC
poloniex/kraken,DAI/USDT
poloniex/kraken,ETH/USDT
poloniex/kraken,DOT/USDT
poloniex/kraken,MANA/BTC
poloniex/kraken,MKR/BTC
poloniex/kraken,SC/BTC
poloniex/kraken,ADA/BTC
poloniex/kraken,WBTC/BTC
poloniex/kraken,BNT/BTC
poloniex/kraken,MATIC/BTC
poloniex/kraken,LPT/BTC
poloniex/kraken,BCH/BTC
poloniex/kraken,XTZ/BTC
poloniex/kraken,FIL/BTC
poloniex/kraken,ETC/ETH
poloniex/kraken,EOS/ETH
poloniex/kraken,XTZ/USDT
poloniex/kraken,LSK/BTC
poloniex/kraken,LTC/USDT
poloniex/kraken,DASH/BTC
poloniex/kraken,XMR/BTC
poloniex/kraken,LINK/BTC
poloniex/kraken,DOGE/USDT
poloniex/kraken,OMG/BTC
poloniex/kraken,DOGE/BTC
poloniex/kraken,SNX/BTC
poloniex/kraken,ATOM/USDT
poloniex/kraken,XLM/BTC
poloniex/kraken,ETH/BTC
poloniex/kraken,AAVE/BTC
poloniex/kraken,SHIB/USDT
poloniex/kraken,AVAX/USDT
poloniex/kraken,MANA/USDT
poloniex/kraken,KNC/BTC
poloniex/kraken,ZEC/BTC
poloniex/kraken,DOT/BTC
poloniex/kraken,BTC/USDT
poloniex/kraken,XMR/USDT
poloniex/kraken,ADA/USDT
poloniex/kraken,SOL/BTC
